uid_org,name_org,description,org_type,website,year_founded,facebook,twitter
congreso-publico,Congreso Público,,Organización civil sin fines de lucro (ONG),www.congresopublico.com,2017,,
iuristech-solutions,Iuristech Solutions,,Empresa privada (startup),www.iuristechpro.com,2015,,
socialtic,Socialtic,"Es una organización que se dedica a la formación y a la investigación de la tecnología digital para el empoderamiento social, formando a la comunidad en estrategias digitales y datos.",Organización civil sin fines de lucro (ONG),https://socialtic.org/,2012,https://www.facebook.com/Socialtic/,https://twitter.com/socialtic?lang=es
w3,W3,,,http://www.w3.com.py/,2011,,
plan-b-para-el-desarrollo-ac,"Plan B Para El Desarrollo, Ac",,Organización civil sin fines de lucro (ONG),,2015,,
rede-conhecimento-social,Rede Conhecimento Social,,Organización civil sin fines de lucro (ONG),conhecimentosocial.org,2016,,
escuela-politecnica-nacional,Escuela Politécnica Nacional,,Universidad/Instituto de investigación,www.epn.edu.ec,1971,,
ilda,ILDA,Buscan promover las políticas y uso de datos abiertos en América Latina.,,https://idatosabiertos.org/,2013,,https://twitter.com/idatosabiertos
carla-barbedo-zorzanelli,Carla Barbedo Zorzanelli,,,www.temacucar.com,2014,,
the-engine-room,The Engine Room,,Organización internacional,www.theengineroom.org,2011,,
genero-e-numero,Gênero E Número,,Organización civil sin fines de lucro (ONG),www.generonumero.media,2016,,
fundacion-consuma-conciencia,Fundación Consuma Conciencia,,Organización civil sin fines de lucro (ONG),http://www.consuma-conciencia.org/,2016,,
panapana-informacao-e-educacao-ltda-me,Panapana Informacao E Educacao Ltda ­ Me,,Empresa privada (no incluye startup),panapana.eco.br,2012,,
fundacion-gestores-sociales,Fundación Gestores Sociales,,Organización civil sin fines de lucro (ONG),www.fungestores.org,2006,,
factico-periodismo-movil,Fáctico Periodismo Móvil,,Empresa privada (startup),www.factico.com.mx,2014,,
la-nacion-cr,La Nación,Medio de Comunicación de Costa Rica,,https://www.nacion.com/,,https://www.facebook.com/lanacioncr/,https://twitter.com/nacion
unostres,Unostres,,,www.unostres.com,2017,,
minerva,Minerva,"Es una organización que almacena el monitoreo de medios, permitiendo hacer análisis de meses o incluso años.",,http://mnrva.io/,,https://www.facebook.com/mnrva.io/,https://twitter.com/minerva_data?lang=es
instituto-nacional-de-la-economia-social,Instituto Nacional De La Economía Social,,Gobierno,osse.org.mx,1992,,
gobierno-facil,Gobierno Fácil,,Empresa privada (startup),www.gobiernofacil.com,2014,,
verto-technology-corp,Verto Technology Corp,,Empresa privada (no incluye startup),www.vertoapp.com,2015,,
fundacion-gobierno-abierto,Fundacion Gobierno Abierto,,Organización civil sin fines de lucro (ONG),,,,
silice,Silice,,Empresa privada (startup),www.silice.biz,2001,,
que-hacen-el-parlamento-en-tu-movil,Que Hacen?: El Parlamento En Tu Movil,,,,,,
aparabolica,Aparabólica,,Empresa privada (startup),http://aparabolica.com.br/,2012,,
thot-group,Thot Group,,Empresa privada (startup),www.thotgroup.com,2016,,
fundacion-huesped,Fundación Huésped,,Organización civil sin fines de lucro (ONG),http://www.huesped.org.ar/,1989,,
de-olhos-nas-metas,De Olho nas Metas,O De Olho nas Metas é um sistema de acompanhamento das ações da prefeitura da cidade de São Paulo.,,https://2017.deolhonasmetas.org.br/,,,
grupo-de-investigacion-de-sistemas-basados-en-el-conocimiento-knowledge-based-systems-research-group-kbs-rg-de-la-universidad-tecnica-particular-de-loja,Grupo de Investigación de Sistemas Basados en el Conocimiento (Knowledge-based Systems Research Group - KBS-RG) de la Universidad Técnica Particular de Loja,,,www.utpl.edu.ec,2010,,
let-s-chat,Let\'S Chat,,Organización civil sin fines de lucro (ONG),https://lets-chat.org/,2016,,
municipalidad-de-concepcion-del-uruguay-direccion-de-control-del-gasto,"Municipalidad De Concepción Del Uruguay, Dirección De Control Del Gasto",,Gobierno,www.cdeluruguay.gov.ar,1971,,
movimiento-nacional-por-la-integridad,Movimiento Nacional Por La Integridad,,Organización civil sin fines de lucro (ONG),"www,guatemavisible.net",2009,,
observatorio-de-favelas-do-rio-de-janeiro,Observatório De Favelas Do Rio De Janeiro,,Organización civil sin fines de lucro (ONG),http://observatoriodefavelas.org.br/,2001,,
gobierno-de-costa-rica,Gobierno De Costa Rica,,Gobierno,,,,
secretaria-transparencia-col,Secretaría de Transparencia,Cuenta con la misión de asesorar y apoyar directamente al Presidente en el diseño de una Política Integral de Transparencia y Lucha contra la Corrupción y coordinar su implementación.,,http://www.secretariatransparencia.gov.co/Paginas/default.aspx,2011,,
manejo-inteligente-de-residuos-y-gestion-ambiental-minga,Manejo Inteligente De Residuos Y Gestión Ambiental Minga,,Empresa privada (no incluye startup),www.minga.la,2017,,
sinergias,Sinergias,,,,,,
cnpi-centro-nacional-de-informatica,Cnpi - Centro Nacional De Informatica,,Empresa privada (no incluye startup),www.cnpi.org.br,1995,,
digital-network-srl,Digital Network Srl,,Organización civil sin fines de lucro (ONG),,2015,,
cultura-y-educacion-para-el-desarrollo-y-la-autonomia-en-mexico,Cultura Y Educación Para El Desarrollo Y La Autonomía En México,,,,2009,,
phronesis-pesquisa-e-consultoria-em-ciencias-sociais-ltd,Phronesis Pesquisa E Consultoria Em Ciencias Sociais Ltd,,Empresa privada (no incluye startup),,2011,,
inppares-instituto-peruano-de-paternidad-responsables,Inppares - Instituto Peruano De Paternidad Responsables,,Organización civil sin fines de lucro (ONG),WWW.INPPARES.ORG,1976,,
wingu,Wingu,Busca potenciar el trabajo de organizaciones y proyectos sin fines de lucro de América Latina a través de la incorporación de tecnología y metodologías innovadoras.,Organización civil sin fines de lucro (ONG),https://winguweb.org/,2008,https://www.facebook.com/WinguTecnologiaSinFinesDeLucro,https://twitter.com/desdewingu
facultad-de-ingeneria-universidad-de-los-andes,Facultad De Ingenería Universidad De Los Andes,,Universidad/Instituto de investigación,ingenieria.uniandes.edu.co,1971,,
secretaria-de-planificacion,Secretaría De Planificación,,Gobierno,http://www.rionegro.gov.ar/?catID=2,1973,,
llactalab-ciudades-sustentables,Llactalab - Ciudades Sustentables,,Organización civil sin fines de lucro (ONG),http://llactalab.ucuenca.edu.ec/,2013,,
asociacion-intermunicipal-del-valle-de-jiboa-mijiboa,Asociación Intermunicipal Del Valle De Jiboa Mijiboa,,Otro,,2015,,
congreso-transparente,Congreso Transparente,,Otro,,,,
atlas-smart-cities,Atlas Smart Cities,,,www.smartcitiesatlas.com,2016,,
fundacion-proyecto-propio,Fundación Proyecto Propio,,Organización civil sin fines de lucro (ONG),www.proyectopropio.cl y www.juntasdevecinos.cl,2007,,
alcalde-como-vamos,"Alcalde, Como Vamos?",,Organización civil sin fines de lucro (ONG),,,,
open-knowledge-ecuador,Open Knowledge Ecuador,,Organización civil sin fines de lucro (ONG),,,,
regional,Regional,,Organización civil sin fines de lucro (ONG),,,,
ong-para-iberoamerica,Ong Para Iberoamerica,,,,,,
appcivico-eokoe-solucoes-tecnologicas,AppCivico - EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,,Empresa privada (startup),https://www.eokoe.com/,2015,,
avisora,Avisora,,Empresa privada (startup),www.avisora.mx,2015,,
guayi,Guayí,,Organización civil sin fines de lucro (ONG),http://guayi.org.br/,2001,,
explico-s-a-ludiverse-inc,"Explico, S.A. / Ludiverse Inc.",,,www.ludiverse.net / www.explicoanalytics.com,2015,,
fundar-centro-de-analisis-e-investigacion,"Fundar, Centro De Análisis E Investigación",,Organización civil sin fines de lucro (ONG),fndar.org.mx,1999,,
ministerio-de-economia-de-peru,Ministerio de Economía del Perú,"Está encargado de planear, dirigir y controlar los asuntos relativos a presupuesto, tesorería, endeudamiento, contabilidad, política fiscal, inversión pública y política económica y social. Asimismo diseña, establece, ejecuta y supervisa la política nacional y sectorial de su competencia asumiendo la rectoría de ella.",,https://www.mef.gob.pe/es/,,,
ruta-civica,Ruta Cívica,,Organización civil sin fines de lucro (ONG),www.rutacivica.org,2010,,
asociacion-civil-guatecambia,Asociación Civil Guatecambia,,Organización civil sin fines de lucro (ONG),www.guatecambia.org.gt,2011,,
folha-de-sao-paulo,Folha,Medio de comunicación brasileño,,http://piaui.folha.uol.com.br/,,https://www.facebook.com/revistapiaui,https://twitter.com/revistapiaui
creapption,Creapption,,Empresa privada (startup),www.creapption.co,2011,,
creative-commons,Creative Commons,,Otro,,,,
