uid_proj,uid,name
fortalecimiento-civico-y-comunitario-por-expertos-sociales,mapeo-ciudadano,Mapeo ciudadano
fortalecimiento-civico-y-comunitario-por-expertos-sociales,participación-ciudadana,Participación ciudadana
fortalecimiento-civico-y-comunitario-por-expertos-sociales,uso-de-datos-abiertos,Uso de datos abiertos
mobqi,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
mobqi,mapeo-ciudadano,Mapeo ciudadano
mobqi,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
mobqi,participación-ciudadana,Participación ciudadana
mobqi,uso-de-datos-abiertos,Uso de datos abiertos
phomenta-doe-profissionalmente,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
phomenta-doe-profissionalmente,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
phomenta-doe-profissionalmente,participación-ciudadana,Participación ciudadana
phomenta-doe-profissionalmente,uso-de-datos-abiertos,Uso de datos abiertos
calhau-social,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
calhau-social,mapeo-ciudadano,Mapeo ciudadano
calhau-social,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
calhau-social,participación-ciudadana,Participación ciudadana
calhau-social,periodismo-de-datos,Periodismo de datos
ojovaldivia-cl-denuncia-y-articulacion-ciudadana-en-linea,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
ojovaldivia-cl-denuncia-y-articulacion-ciudadana-en-linea,mapeo-ciudadano,Mapeo ciudadano
ojovaldivia-cl-denuncia-y-articulacion-ciudadana-en-linea,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
ojovaldivia-cl-denuncia-y-articulacion-ciudadana-en-linea,participación-ciudadana,Participación ciudadana
yeeko-inteligencia-colectiva,participación-ciudadana,Participación ciudadana
desarrollo-de-un-sistema-de-inteligencia-artificial-para-el-analisis-de-oportunidades-de-inversion-y-mejora-en-el-transporte-publico-concesionado,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
desarrollo-de-un-sistema-de-inteligencia-artificial-para-el-analisis-de-oportunidades-de-inversion-y-mejora-en-el-transporte-publico-concesionado,mapeo-ciudadano,Mapeo ciudadano
desarrollo-de-un-sistema-de-inteligencia-artificial-para-el-analisis-de-oportunidades-de-inversion-y-mejora-en-el-transporte-publico-concesionado,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
desarrollo-de-un-sistema-de-inteligencia-artificial-para-el-analisis-de-oportunidades-de-inversion-y-mejora-en-el-transporte-publico-concesionado,participación-ciudadana,Participación ciudadana
desarrollo-de-un-sistema-de-inteligencia-artificial-para-el-analisis-de-oportunidades-de-inversion-y-mejora-en-el-transporte-publico-concesionado,uso-de-datos-abiertos,Uso de datos abiertos
ciudadano-presente,participación-ciudadana,Participación ciudadana
ciudadano-presente,uso-de-datos-abiertos,Uso de datos abiertos
plataforma-de-bicicletas-publicas-y-compartidas-de-america-latina,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
plataforma-de-bicicletas-publicas-y-compartidas-de-america-latina,participación-ciudadana,Participación ciudadana
plataforma-de-bicicletas-publicas-y-compartidas-de-america-latina,uso-de-datos-abiertos,Uso de datos abiertos
a-que-precio-un-observatorio-de-compras-publicas,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
