org_uid,org_name,proj_uid,proj_name
congreso-publico,Congreso Público,congreso-publico-tecnologia-civica-para-una-democracia-inclusiva,Congreso Público: Tecnología Cívica Para Una Democracia Inclusiva
iuristech-solutions,Iuristech Solutions,opendataplus-od,Opendataplus (Od+)
socialtic,Socialtic,experimentos-tecnologicos-locales,Experimentos Tecnológicos Locales
socialtic,Socialtic,experimentos-locales,Experimentos Locales
socialtic,Socialtic,sin-nombre,Sin Nombre
socialtic,Socialtic,plataforma-pro-municipio,Plataforma Pro Municipio
w3,W3,civic-backoffice-plataforma-de-gestion-semi-automatica-de-la-innovacion-publica-y-la-participacion-ciudadana,
plan-b-para-el-desarrollo-ac,"Plan B Para El Desarrollo, Ac",click-social,Click Social
rede-conhecimento-social,Rede Conhecimento Social,periferia-na-palma-da-mão-conectando-conhecimentos-para-transformar,Periferia Na Palma Da Mão - Conectando Conhecimentos Para Transformar
rede-conhecimento-social,Rede Conhecimento Social,cuidando-e-monitorando-a-cidade,Cuidando E Monitorando A Cidade
escuela-politecnica-nacional,Escuela Politécnica Nacional,arteria-activa-responde-transforma,"Arteria: Activa, Responde, Transforma."
ilda,ILDA,mapeando-habilidades-y-capacidades-de-la-region,Mapeando habilidades y capacidades en la región
ilda,ILDA,respira-ciudad,Respira Ciudad
ilda,ILDA,datos-y-enfermedades-de-transmision-vectorial,Datos y enfermedades de transmisión vectorial
ilda,ILDA,cuidando-de-meu-barrio,Ciudando de meu barrio
ilda,ILDA,genero-datos-y-seguridad,Género Datos y Seguridad
carla-barbedo-zorzanelli,Carla Barbedo Zorzanelli,tem-acucar-tienes-azucar,Tem Açúcar? (Tienes Azúcar?)
the-engine-room,The Engine Room,os-conoces-mapeando-el-poder,¿Los Conoces? Mapeando El Poder
the-engine-room,The Engine Room,os-conoces-mapeando-el-poder,
the-engine-room,The Engine Room,iniciativa-pescando-datos,Iniciativa Pescando Datos
genero-e-numero,Gênero E Número,genero-e-numero,Gênero E Número
fundacion-consuma-conciencia,Fundación Consuma Conciencia,certificaciones-de-sostenibilidad-para-empresas-y-consumidores,Certificaciones De Sostenibilidad Para Empresas Y Consumidores
panapana-informacao-e-educacao-ltda-me,Panapana Informacao E Educacao Ltda ­ Me,projeto-felicia-aplicativos-catatudo,Projeto Felícia - Aplicativos Catatudo
fundacion-gestores-sociales,Fundación Gestores Sociales,rutas-de-atencion-y-participacion-ciudadana,Rutas De Atención Y Participación Ciudadana
factico-periodismo-movil,Fáctico Periodismo Móvil,escuadron-supercivico,Escuadrón Supercívico
la-nacion-cr,La Nación,las-silenciadas,Las silenciadas
la-nacion-cr,La Nación,voto-de-fe,Voto por diputados evangélicos se triplicó en cinco elecciones
la-nacion-cr,La Nación,elecciones-2018,Elecciones 2018
la-nacion-cr,La Nación,narco-decomisos,Narco-decomisos
unostres,Unostres,unostres,Unostres
instituto-nacional-de-la-economia-social,Instituto Nacional De La Economía Social,observatorio-del-sector-social-de-la-economia,Observatorio Del Sector Social De La Economía
gobierno-facil,Gobierno Fácil,habitala,Habítala
gobierno-facil,Gobierno Fácil,analisis-de-campana-para-candidatos-independientes,Análisis De Campaña Para Candidatos Independientes
gobierno-facil,Gobierno Fácil,plataforma-de-contrataciones-abiertas-mx,Plataforma De Contrataciones Abiertas Mx
gobierno-facil,Gobierno Fácil,gobierno-facil,Gobierno Fácil
gobierno-facil,Gobierno Fácil,mexico-en-datos,México En Datos
verto-technology-corp,Verto Technology Corp,verto-app,Verto App
fundacion-gobierno-abierto,Fundacion Gobierno Abierto,sin-nombre,Sin Nombre
silice,Silice,plataforma-de-apertura-de-gobiernos,Plataforma De Apertura De Gobiernos
que-hacen-el-parlamento-en-tu-movil,Que Hacen?: El Parlamento En Tu Movil,parlamento-en-tu-movil,Parlamento En Tu Móvil
aparabolica,Aparabólica,toolkit-electoral,Toolkit Electoral
thot-group,Thot Group,thot-group,Thot Group
fundacion-huesped,Fundación Huésped,el-mirador-de-salud-sexual-y-reproductiva,El Mirador De Salud Sexual Y Reproductiva
de-olhos-nas-metas,De Olho nas Metas,de-olhos-nas-metas,De Olhos Nas Metas
grupo-de-investigacion-de-sistemas-basados-en-el-conocimiento-knowledge-based-systems-research-group-kbs-rg-de-la-universidad-tecnica-particular-de-loja,Grupo de Investigación de Sistemas Basados en el Conocimiento (Knowledge-based Systems Research Group - KBS-RG) de la Universidad Técnica Particular de Loja,observatorio-de-femicidios-en-latinoamerica-basado-en-datos-abiertos-enlazados-y-web-semantica-lod4vida-linked-open-data-por-la-vida,
let-s-chat,Let\'S Chat,let-s-chat,Let'S Chat
municipalidad-de-concepcion-del-uruguay-direccion-de-control-del-gasto,"Municipalidad De Concepción Del Uruguay, Dirección De Control Del Gasto",portal-de-transparencia-de-gastos-de-gobiernos-locales-subnacionales-engage-civico,Portal De Transparencia De Gastos De Gobiernos Locales (Subnacionales) + Engage Cívico
movimiento-nacional-por-la-integridad,Movimiento Nacional Por La Integridad,ciudadano-app,Ciudadano App
observatorio-de-favelas-do-rio-de-janeiro,Observatório De Favelas Do Rio De Janeiro,cocozap,Cocozap
gobierno-de-costa-rica,Gobierno De Costa Rica,plataforma-nacional-de-datos-abiertos-costa-rica,Plataforma Nacional De Datos Abiertos Costa Rica
manejo-inteligente-de-residuos-y-gestion-ambiental-minga,Manejo Inteligente De Residuos Y Gestión Ambiental Minga,minga-manejo-colectivo-de-residuos,Minga - Manejo Colectivo De Residuos
cnpi-centro-nacional-de-informatica,Cnpi - Centro Nacional De Informatica,monitoramento-de-dados-ambientais-para-analise-de-risco,Monitoramento De Dados Ambientais Para Análise De Risco
digital-network-srl,Digital Network Srl,geomatica-en-organismos-publicos,Geomatica En Organismos Publicos
cultura-y-educacion-para-el-desarrollo-y-la-autonomia-en-mexico,Cultura Y Educación Para El Desarrollo Y La Autonomía En México,red-tonos-cihuatl,Red Tonos Cihuatl
phronesis-pesquisa-e-consultoria-em-ciencias-sociais-ltd,Phronesis Pesquisa E Consultoria Em Ciencias Sociais Ltd,observatorio-do-poder-legislativo-opl,Observatório Do Poder Legislativo (Opl)
inppares-instituto-peruano-de-paternidad-responsables,Inppares - Instituto Peruano De Paternidad Responsables,conectados-tecnologia-civica-para-el-acceso-de-los-servicios-de-salud-y-ejercicio-de-los-derechos-sexuales-y-derechos-reproductivos-de-adolescentes-y-jovenes,Conectados : Tecnología Cívica Para El Acceso De Los Servicios De Salud Y Ejercicio De Los Derechos Sexuales Y Derechos Reproductivos De Adolescentes Y Jóvenes
wingu,Wingu,datarepublica-tecnologia-y-datos-para-el-desarrollo-sostenible-en-america-latina,Datarepública: Tecnología Y Datos Para El Desarrollo Sostenible En América Latina
wingu,Wingu,ruta-de-las-medicinas,Ruta De Las Medicinas
wingu,Wingu,caminos-de-la-villa,Caminos De La Villa
wingu,Wingu,el-recorrido-tecnologia-ciudadana-para-mejorar-la-deteccion-temprana-del-cancer-en-el-sistema-publico-de-salud,El Recorrido: Tecnología Ciudadana Para Mejorar La Detección Temprana Del Cáncer En El Sistema Público De Salud.
wingu,Wingu,relevamiento-de-asentamientos-informales-en-centro-america,Relevamiento De Asentamientos Informales En Centro América
wingu,Wingu,wingu,Wingu
wingu,Wingu,cdlv-el-monitor-de-los-procesos-de-urbanizacion-de-villas,Cdlv: El Monitor De Los Procesos De Urbanización De Villas
