uid_org,uid,name
congreso-publico,mapeo-ciudadano,Mapeo ciudadano
congreso-publico,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
congreso-publico,participación-ciudadana,Participación ciudadana
congreso-publico,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
iuristech-solutions,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
iuristech-solutions,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
iuristech-solutions,participación-ciudadana,Participación ciudadana
iuristech-solutions,otro,Otro
iuristech-solutions,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
iuristech-solutions,periodismo-de-datos,Periodismo de datos
socialtic,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
socialtic,mapeo-ciudadano,Mapeo ciudadano
socialtic,compras-publicas,Compras públicas
socialtic,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
socialtic,participación-ciudadana,Participación ciudadana
socialtic,otro,Otro
socialtic,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
socialtic,periodismo-de-datos,Periodismo de datos
plan-b-para-el-desarrollo-ac,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
plan-b-para-el-desarrollo-ac,mapeo-ciudadano,Mapeo ciudadano
plan-b-para-el-desarrollo-ac,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
plan-b-para-el-desarrollo-ac,participación-ciudadana,Participación ciudadana
plan-b-para-el-desarrollo-ac,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
rede-conhecimento-social,otro,Otro
escuela-politecnica-nacional,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
escuela-politecnica-nacional,mapeo-ciudadano,Mapeo ciudadano
escuela-politecnica-nacional,participación-ciudadana,Participación ciudadana
escuela-politecnica-nacional,otro,Otro
escuela-politecnica-nacional,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
carla-barbedo-zorzanelli,mapeo-ciudadano,Mapeo ciudadano
carla-barbedo-zorzanelli,participación-ciudadana,Participación ciudadana
carla-barbedo-zorzanelli,otro,Otro
the-engine-room,compras-publicas,Compras públicas
the-engine-room,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
the-engine-room,participación-ciudadana,Participación ciudadana
the-engine-room,otro,Otro
the-engine-room,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
genero-e-numero,mapeo-ciudadano,Mapeo ciudadano
genero-e-numero,participación-ciudadana,Participación ciudadana
genero-e-numero,periodismo-de-datos,Periodismo de datos
fundacion-consuma-conciencia,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
fundacion-consuma-conciencia,otro,Otro
panapana-informacao-e-educacao-ltda-me,participación-ciudadana,Participación ciudadana
panapana-informacao-e-educacao-ltda-me,otro,Otro
fundacion-gestores-sociales,otro,Otro
factico-periodismo-movil,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
factico-periodismo-movil,mapeo-ciudadano,Mapeo ciudadano
factico-periodismo-movil,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
factico-periodismo-movil,participación-ciudadana,Participación ciudadana
unostres,participación-ciudadana,Participación ciudadana
unostres,otro,Otro
unostres,periodismo-de-datos,Periodismo de datos
instituto-nacional-de-la-economia-social,mapeo-ciudadano,Mapeo ciudadano
instituto-nacional-de-la-economia-social,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
instituto-nacional-de-la-economia-social,participación-ciudadana,Participación ciudadana
instituto-nacional-de-la-economia-social,otro,Otro
gobierno-facil,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
gobierno-facil,mapeo-ciudadano,Mapeo ciudadano
gobierno-facil,compras-publicas,Compras públicas
gobierno-facil,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
gobierno-facil,participación-ciudadana,Participación ciudadana
gobierno-facil,periodismo-de-datos,Periodismo de datos
verto-technology-corp,participación-ciudadana,Participación ciudadana
verto-technology-corp,otro,Otro
silice,mapeo-ciudadano,Mapeo ciudadano
silice,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
aparabolica,mapeo-ciudadano,Mapeo ciudadano
aparabolica,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
aparabolica,participación-ciudadana,Participación ciudadana
aparabolica,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
aparabolica,periodismo-de-datos,Periodismo de datos
thot-group,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
thot-group,mapeo-ciudadano,Mapeo ciudadano
thot-group,compras-publicas,Compras públicas
thot-group,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
thot-group,participación-ciudadana,Participación ciudadana
thot-group,otro,Otro
thot-group,periodismo-de-datos,Periodismo de datos
fundacion-huesped,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
fundacion-huesped,mapeo-ciudadano,Mapeo ciudadano
fundacion-huesped,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
fundacion-huesped,participación-ciudadana,Participación ciudadana
let-s-chat,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
let-s-chat,participación-ciudadana,Participación ciudadana
let-s-chat,otro,Otro
municipalidad-de-concepcion-del-uruguay-direccion-de-control-del-gasto,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
municipalidad-de-concepcion-del-uruguay-direccion-de-control-del-gasto,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
movimiento-nacional-por-la-integridad,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
movimiento-nacional-por-la-integridad,mapeo-ciudadano,Mapeo ciudadano
movimiento-nacional-por-la-integridad,compras-publicas,Compras públicas
movimiento-nacional-por-la-integridad,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
movimiento-nacional-por-la-integridad,participación-ciudadana,Participación ciudadana
movimiento-nacional-por-la-integridad,otro,Otro
movimiento-nacional-por-la-integridad,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
movimiento-nacional-por-la-integridad,periodismo-de-datos,Periodismo de datos
observatorio-de-favelas-do-rio-de-janeiro,mapeo-ciudadano,Mapeo ciudadano
observatorio-de-favelas-do-rio-de-janeiro,participación-ciudadana,Participación ciudadana
observatorio-de-favelas-do-rio-de-janeiro,periodismo-de-datos,Periodismo de datos
manejo-inteligente-de-residuos-y-gestion-ambiental-minga,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
manejo-inteligente-de-residuos-y-gestion-ambiental-minga,mapeo-ciudadano,Mapeo ciudadano
manejo-inteligente-de-residuos-y-gestion-ambiental-minga,participación-ciudadana,Participación ciudadana
cnpi-centro-nacional-de-informatica,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
cnpi-centro-nacional-de-informatica,mapeo-ciudadano,Mapeo ciudadano
digital-network-srl,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
digital-network-srl,mapeo-ciudadano,Mapeo ciudadano
cultura-y-educacion-para-el-desarrollo-y-la-autonomia-en-mexico,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
cultura-y-educacion-para-el-desarrollo-y-la-autonomia-en-mexico,mapeo-ciudadano,Mapeo ciudadano
cultura-y-educacion-para-el-desarrollo-y-la-autonomia-en-mexico,participación-ciudadana,Participación ciudadana
phronesis-pesquisa-e-consultoria-em-ciencias-sociais-ltd,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
phronesis-pesquisa-e-consultoria-em-ciencias-sociais-ltd,mapeo-ciudadano,Mapeo ciudadano
phronesis-pesquisa-e-consultoria-em-ciencias-sociais-ltd,participación-ciudadana,Participación ciudadana
phronesis-pesquisa-e-consultoria-em-ciencias-sociais-ltd,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
phronesis-pesquisa-e-consultoria-em-ciencias-sociais-ltd,periodismo-de-datos,Periodismo de datos
inppares-instituto-peruano-de-paternidad-responsables,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
inppares-instituto-peruano-de-paternidad-responsables,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
inppares-instituto-peruano-de-paternidad-responsables,participación-ciudadana,Participación ciudadana
inppares-instituto-peruano-de-paternidad-responsables,otro,Otro
wingu,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
wingu,mapeo-ciudadano,Mapeo ciudadano
wingu,compras-publicas,Compras públicas
wingu,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
wingu,participación-ciudadana,Participación ciudadana
wingu,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
wingu,periodismo-de-datos,Periodismo de datos
facultad-de-ingeneria-universidad-de-los-andes,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
facultad-de-ingeneria-universidad-de-los-andes,mapeo-ciudadano,Mapeo ciudadano
facultad-de-ingeneria-universidad-de-los-andes,compras-publicas,Compras públicas
facultad-de-ingeneria-universidad-de-los-andes,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
facultad-de-ingeneria-universidad-de-los-andes,participación-ciudadana,Participación ciudadana
facultad-de-ingeneria-universidad-de-los-andes,periodismo-de-datos,Periodismo de datos
secretaria-de-planificacion,otro,Otro
llactalab-ciudades-sustentables,mapeo-ciudadano,Mapeo ciudadano
llactalab-ciudades-sustentables,participación-ciudadana,Participación ciudadana
asociacion-intermunicipal-del-valle-de-jiboa-mijiboa,otro,Otro
atlas-smart-cities,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
atlas-smart-cities,mapeo-ciudadano,Mapeo ciudadano
atlas-smart-cities,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
atlas-smart-cities,participación-ciudadana,Participación ciudadana
atlas-smart-cities,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
fundacion-proyecto-propio,participación-ciudadana,Participación ciudadana
fundacion-proyecto-propio,otro,Otro
appcivico-eokoe-solucoes-tecnologicas,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
appcivico-eokoe-solucoes-tecnologicas,mapeo-ciudadano,Mapeo ciudadano
appcivico-eokoe-solucoes-tecnologicas,compras-publicas,Compras públicas
appcivico-eokoe-solucoes-tecnologicas,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
appcivico-eokoe-solucoes-tecnologicas,participación-ciudadana,Participación ciudadana
appcivico-eokoe-solucoes-tecnologicas,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
avisora,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
avisora,mapeo-ciudadano,Mapeo ciudadano
avisora,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
avisora,participación-ciudadana,Participación ciudadana
avisora,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
avisora,periodismo-de-datos,Periodismo de datos
guayi,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
guayi,mapeo-ciudadano,Mapeo ciudadano
guayi,compras-publicas,Compras públicas
guayi,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
guayi,participación-ciudadana,Participación ciudadana
guayi,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
fundar-centro-de-analisis-e-investigacion,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
fundar-centro-de-analisis-e-investigacion,participación-ciudadana,Participación ciudadana
fundar-centro-de-analisis-e-investigacion,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
fundar-centro-de-analisis-e-investigacion,periodismo-de-datos,Periodismo de datos
ruta-civica,mapeo-ciudadano,Mapeo ciudadano
ruta-civica,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
ruta-civica,participación-ciudadana,Participación ciudadana
ruta-civica,otro,Otro
asociacion-civil-guatecambia,participación-ciudadana,Participación ciudadana
asociacion-civil-guatecambia,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
creapption,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
creapption,mapeo-ciudadano,Mapeo ciudadano
creapption,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
creapption,participación-ciudadana,Participación ciudadana
asociacion-centro-ciudadano-de-estudios-para-una-sociedad-abierta-accesa,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
asociacion-centro-ciudadano-de-estudios-para-una-sociedad-abierta-accesa,mapeo-ciudadano,Mapeo ciudadano
asociacion-centro-ciudadano-de-estudios-para-una-sociedad-abierta-accesa,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
asociacion-centro-ciudadano-de-estudios-para-una-sociedad-abierta-accesa,participación-ciudadana,Participación ciudadana
asociacion-centro-ciudadano-de-estudios-para-una-sociedad-abierta-accesa,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
politize,otro,Otro
centro-de-midias-civicas-do-mit-media-lab,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
centro-de-midias-civicas-do-mit-media-lab,mapeo-ciudadano,Mapeo ciudadano
centro-de-midias-civicas-do-mit-media-lab,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
centro-de-midias-civicas-do-mit-media-lab,participación-ciudadana,Participación ciudadana
centro-de-midias-civicas-do-mit-media-lab,periodismo-de-datos,Periodismo de datos
instituto-midia-etnica,participación-ciudadana,Participación ciudadana
red-consejo-ciudadano-a-la-contraloria-a-c,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
red-consejo-ciudadano-a-la-contraloria-a-c,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
red-consejo-ciudadano-a-la-contraloria-a-c,participación-ciudadana,Participación ciudadana
democracia-en-red,participación-ciudadana,Participación ciudadana
democracia-en-red,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
contexto,participación-ciudadana,Participación ciudadana
contexto,periodismo-de-datos,Periodismo de datos
cooperativa-girasol-de-cosumo-solidario,mapeo-ciudadano,Mapeo ciudadano
cooperativa-girasol-de-cosumo-solidario,compras-publicas,Compras públicas
cooperativa-girasol-de-cosumo-solidario,participación-ciudadana,Participación ciudadana
cooperativa-girasol-de-cosumo-solidario,periodismo-de-datos,Periodismo de datos
fundacion-buena-nota,participación-ciudadana,Participación ciudadana
fundacion-buena-nota,otro,Otro
fundacion-buena-nota,periodismo-de-datos,Periodismo de datos
